Wall time,Step,Value
1720099465,39450,-1.864956856
1720099795,78900,-0.070590183
1720100083,118350,-0.012501637
1720100371,157800,-0.114766382
1720100641,197250,-0.028362043
1720100915,236700,-0.034930099
1720101182,276150,-1.968985081
1720101448,315600,-2
1720101727,355050,-2
1720101999,394500,-0.999696732
1720102268,433950,-0.998357177
1720102675,473400,-0.998500884
1720103188,512850,-1.999746561
1720103708,552300,-2
1720104217,591750,-2
1720104739,631200,-0.6667642
1720105250,670650,-2
1720108039,710100,-2
1720108324,749550,-2
1720108614,789000,-2
1720108956,828450,-2
1720109245,867900,-0.0843
1720109510,907350,-0.08943
1720109774,946800,-0.081734
1720110040,986250,-0.07589
1720110310,1025700,-2
1720110574,1065150,-2
1720110839,1104600,-2
1720111109,1144050,-2
1720111373,1183500,-2
1720111638,1222950,-2
1720111903,1262400,-2
1720112174,1301850,-2
1720112437,1341300,-2
1720112699,1380750,-2
1720112969,1420200,-0.9853
1720113231,1459650,-0.9184
1720113496,1499100,-0.84753
1720113760,1538550,-2
1720114028,1578000,-2
1720114291,1617450,-2
1720114556,1656900,-2
1720114826,1696350,-2
1720115090,1735800,-2
1720115352,1775250,-2
1720115616,1814700,-2
1720115886,1854150,-2
1720116147,1893600,-2
1720116412,1933050,-2
1720116681,1972500,-2
1720116945,2011950,-2
1720117210,2051400,-2
1720117475,2090850,-2
1720117743,2130300,-2
1720118006,2169750,-2
1720118271,2209200,-2
1720118540,2248650,-2
1720118803,2288100,-2
1720119066,2327550,-2
1720119332,2367000,-2
1720119602,2406450,-2
1720119864,2445900,-2
1720120129,2485350,-2
1720120399,2524800,-2
1720120665,2564250,-2
1720120930,2603700,-2
1720121199,2643150,-2
1720121464,2682600,-2
1720121731,2722050,-2
1720121991,2761500,-2
1720122260,2800950,-2
1720122521,2840400,-2
1720122782,2879850,-2
1720123047,2919300,-2
1720123308,2958750,-2
1720123570,2998200,-2
1720123833,3037650,-2
1720124103,3077100,-2
1720124364,3116550,-2
1720124626,3156000,-2
1720124893,3195450,-2
1720125155,3234900,-2
1720125416,3274350,-2
1720125678,3313800,-2
1720125946,3353250,-2
1720126207,3392700,-2
1720126471,3432150,-2
1720126739,3471600,-2
1720127003,3511050,-2
1720127267,3550500,-2
1720127528,3589950,-2
1720127801,3629400,-2
1720128063,3668850,-2
1720128328,3708300,-2
1720128594,3747750,-2
1720128856,3787200,-2
1720129130,3826650,-2
1720129405,3866100,-2
1720129679,3905550,-2
1720129954,3945000,-2
